vial_id,species,nutrient_level,co2_drawdown_ppm
V001,Scenedesmus,low,32.1
V002,Chlorella,low,31.0
V003,Scenedesmus,medium,42.3
V004,Scenedesmus,high,50.5
V005,Chlorella,high,44.3
V006,Scenedesmus,medium,33.7
V007,Scenedesmus,low,34.6
V008,Chlorella,high,32.5
V009,Scenedesmus,medium,41.2
V010,Scenedesmus,low,38.9
V011,Chlorella,low,27.1
V012,Scenedesmus,low,37.6
V013,Scenedesmus,medium,31.9
V014,Chlorella,high,33.0
V015,Chlorella,low,27.0
V016,Chlorella,medium,37.4
V017,Chlorella,medium,27.6
V018,Scenedesmus,high,58.1
V019,Chlorella,high,33.7
V020,Scenedesmus,high,50.7
V021,Chlorella,medium,28.7
V022,Scenedesmus,high,43.5
V023,Scenedesmus,medium,30.8
V024,Scenedesmus,high,51.7
V025,Chlorella,medium,30.2
V026,Chlorella,medium,34.5
V027,Scenedesmus,high,45.5
V028,Chlorella,medium,35.0
V029,Chlorella,low,27.7
V030,Chlorella,high,46.3
V031,Chlorella,medium,27.1
V032,Scenedesmus,high,46.5
V033,Chlorella,low,28.2
V034,Scenedesmus,medium,44.9
V035,Chlorella,high,36.4
V036,Chlorella,low,36.3
V037,Scenedesmus,high,37.2
V038,Scenedesmus,low,37.0
V039,Chlorella,low,39.9
V040,Scenedesmus,low,26.8
V041,Chlorella,low,16.6
V042,Scenedesmus,low,30.7
V043,Scenedesmus,low,37.8
V044,Chlorella,high,46.6
V045,Chlorella,high,53.3
V046,Scenedesmus,medium,24.7
V047,Chlorella,high,43.0
V048,Scenedesmus,high,45.8
V049,Scenedesmus,low,33.7
V050,Scenedesmus,low,34.2
V051,Chlorella,low,34.3
V052,Scenedesmus,high,40.8
V053,Chlorella,medium,30.3
V054,Chlorella,medium,32.7
V055,Scenedesmus,medium,29.1
V056,Chlorella,high,43.8
V057,Chlorella,low,31.5
V058,Scenedesmus,medium,40.3
V059,Chlorella,medium,31.5
V060,Scenedesmus,medium,36.3
