bat_id,species,roost,forearm_mm,mass_g,torpid
B001,little_brown,R4,38.5,8.8,yes
B002,little_brown,R3,33.9,8.4,no
B003,little_brown,R3,37.2,9.8,no
B004,little_brown,R3,36.2,9.0,yes
B005,little_brown,R3,38.8,8.9,no
B006,little_brown,R4,40.5,8.6,no
B007,little_brown,R3,39.4,10.3,no
B008,little_brown,R4,35.7,10.6,no
B009,little_brown,R3,39.7,5.3,no
B010,little_brown,R3,38.0,11.0,yes
B011,little_brown,R2,40.2,9.4,no
B012,little_brown,R4,37.3,8.0,yes
B013,little_brown,R3,38.4,9.6,no
B014,little_brown,R4,37.8,6.5,yes
B015,little_brown,R4,37.5,8.8,no
B016,little_brown,R3,41.3,10.0,yes
B017,little_brown,R2,39.9,8.0,no
B018,little_brown,R2,38.9,5.4,yes
B019,little_brown,R3,34.9,8.6,no
B020,little_brown,R3,36.4,8.2,yes
B021,little_brown,R3,38.0,10.4,yes
B022,little_brown,R3,39.2,9.7,yes
B023,little_brown,R4,34.2,11.1,no
B024,little_brown,R4,39.7,8.6,yes
B025,little_brown,R1,35.4,9.5,yes
B026,little_brown,R3,35.2,9.4,no
B027,little_brown,R4,40.2,7.7,no
B028,little_brown,R3,36.6,8.9,no
B029,little_brown,R3,38.6,11.9,no
B030,little_brown,R4,40.1,7.8,no
B031,big_brown,R2,47.2,17.8,no
B032,big_brown,R2,43.4,16.9,no
B033,big_brown,R2,44.5,18.1,yes
B034,big_brown,R4,44.5,16.0,yes
B035,big_brown,R4,46.7,18.9,no
B036,big_brown,R4,46.5,16.9,no
B037,big_brown,R2,48.3,16.7,yes
B038,big_brown,R3,46.9,16.4,yes
B039,big_brown,R4,47.9,17.6,no
B040,big_brown,R1,45.4,15.8,no
B041,big_brown,R2,45.1,18.2,yes
B042,big_brown,R1,42.4,16.2,no
B043,big_brown,R2,44.4,16.8,yes
B044,big_brown,R1,42.1,18.7,yes
B045,big_brown,R2,44.0,18.9,yes
B046,big_brown,R3,49.2,17.3,yes
B047,big_brown,R2,46.4,16.3,yes
B048,big_brown,R1,46.0,17.1,no
B049,big_brown,R2,45.6,18.1,yes
B050,big_brown,R3,44.8,17.2,yes
B051,big_brown,R4,45.7,17.7,no
B052,big_brown,R2,48.1,18.6,no
B053,big_brown,R4,43.6,14.6,no
B054,big_brown,R2,44.5,17.1,yes
B055,big_brown,R1,43.9,17.2,no
B056,big_brown,R1,45.1,16.3,yes
B057,big_brown,R3,51.7,17.7,no
B058,big_brown,R1,50.1,15.9,no
B059,big_brown,R1,50.3,16.5,no
B060,big_brown,R1,43.0,16.5,yes
B061,tricolored,R2,29.8,9.0,yes
B062,tricolored,R4,35.0,5.0,no
B063,tricolored,R4,30.9,6.3,no
B064,tricolored,R1,33.6,7.8,no
B065,tricolored,R1,29.9,7.3,no
B066,tricolored,R3,35.5,4.8,no
B067,tricolored,R2,32.7,6.6,no
B068,tricolored,R3,32.1,4.1,no
B069,tricolored,R2,39.3,7.5,yes
B070,tricolored,R3,33.4,7.3,no
B071,tricolored,R4,30.6,5.7,no
B072,tricolored,R4,30.9,5.1,yes
B073,tricolored,R3,35.7,6.6,no
B074,tricolored,R2,30.8,5.5,no
B075,tricolored,R1,36.4,5.2,yes
B076,tricolored,R1,30.2,6.6,no
B077,tricolored,R1,33.3,7.9,no
B078,tricolored,R2,30.2,5.8,no
B079,tricolored,R2,35.1,5.3,no
B080,tricolored,R1,35.4,5.3,yes
B081,tricolored,R1,33.8,8.1,no
B082,tricolored,R1,32.1,5.2,yes
B083,tricolored,R2,31.3,5.1,yes
B084,tricolored,R4,32.2,7.3,no
B085,tricolored,R4,29.8,6.7,yes
B086,tricolored,R2,30.9,8.0,no
B087,tricolored,R4,35.5,6.9,no
B088,tricolored,R3,31.5,5.5,no
B089,tricolored,R4,32.6,8.0,yes
B090,tricolored,R1,35.8,4.7,no
