beetle_id,sex,diet,body_length_mm,mass_mg
B001,female,control,18.3,71.9
B002,female,control,17.4,65.3
B003,female,control,17.7,62.7
B004,female,control,14.1,44.9
B005,female,control,17.6,62.5
B006,female,control,15.7,54.9
B007,female,control,15.7,52.9
B008,female,control,18.0,60.1
B009,male,control,15.2,43.9
B010,male,control,13.7,38.9
B011,male,control,15.2,37.2
B012,male,control,13.8,32.0
B013,male,control,12.7,37.4
B014,male,control,15.7,48.5
B015,male,control,16.7,47.9
B016,male,control,12.1,20.7
B017,female,low,16.0,64.9
B018,female,low,16.5,61.3
B019,female,low,16.3,43.6
B020,female,low,13.7,44.9
B021,female,low,15.4,45.3
B022,female,low,15.7,52.5
B023,female,low,16.8,48.7
B024,female,low,13.7,39.3
B025,male,low,16.7,49.9
B026,male,low,17.8,53.4
B027,male,low,11.9,32.9
B028,male,low,16.4,70.8
B029,male,low,13.3,38.8
B030,male,low,15.7,50.6
B031,male,low,14.8,35.2
B032,male,low,18.3,63.0
B033,female,high,16.1,59.9
B034,female,high,17.4,59.3
B035,female,high,14.1,56.5
B036,female,high,16.8,68.4
B037,female,high,18.6,74.5
B038,female,high,14.7,45.7
B039,female,high,17.2,74.3
B040,female,high,16.9,78.8
B041,male,high,15.9,60.1
B042,male,high,13.7,42.6
B043,male,high,16.5,67.3
B044,male,high,15.5,50.2
B045,male,high,17.1,51.3
B046,male,high,17.4,80.4
B047,male,high,18.8,88.6
B048,male,high,14.5,48.9
