cricket_id,temp_treatment,body_mass_mg,metabolic_rate_ul_hr
C001,cool_20C,420.4,124.4
C002,cool_20C,381.2,118.0
C003,cool_20C,387.3,135.7
C004,cool_20C,275.7,65.7
C005,cool_20C,509.0,157.6
C006,cool_20C,472.9,137.0
C007,cool_20C,392.1,118.7
C008,cool_20C,452.6,134.8
C009,cool_20C,425.5,123.7
C010,cool_20C,379.5,105.1
C011,cool_20C,463.8,148.9
C012,cool_20C,392.9,100.2
C013,cool_20C,391.9,94.7
C014,cool_20C,366.4,74.0
C015,cool_20C,435.0,142.8
C016,cool_20C,404.5,117.6
C017,cool_20C,440.0,148.3
C018,cool_20C,376.6,105.0
C019,cool_20C,417.0,113.9
C020,cool_20C,360.9,103.7
C021,cool_20C,456.3,137.7
C022,cool_20C,420.3,109.6
C023,cool_20C,428.2,117.0
C024,cool_20C,432.6,148.0
C025,cool_20C,354.4,99.7
C026,cool_20C,453.1,141.8
C027,cool_20C,523.1,163.6
C028,warm_30C,319.9,107.7
C029,warm_30C,314.9,123.0
C030,warm_30C,327.2,117.2
C031,warm_30C,456.3,164.2
C032,warm_30C,417.1,154.6
C033,warm_30C,469.3,168.1
C034,warm_30C,449.7,171.9
C035,warm_30C,421.6,170.4
C036,warm_30C,425.6,150.5
C037,warm_30C,400.7,164.9
C038,warm_30C,457.8,165.8
C039,warm_30C,347.9,128.7
C040,warm_30C,386.8,134.2
C041,warm_30C,423.4,156.3
C042,warm_30C,509.1,195.3
C043,warm_30C,368.0,130.7
C044,warm_30C,350.7,120.5
C045,warm_30C,379.0,132.6
C046,warm_30C,463.3,166.5
C047,warm_30C,397.1,130.4
C048,warm_30C,482.8,180.8
C049,warm_30C,307.0,114.3
C050,warm_30C,472.1,189.2
C051,warm_30C,466.9,184.1
C052,warm_30C,332.0,147.4
C053,warm_30C,418.4,160.1
C054,warm_30C,476.9,176.2
