daphnia_id,species,body_length_mm,eye_diameter_mm,heart_rate_bpm
D001,magna,3.04,0.458,312
D002,magna,2.96,0.438,316
D003,magna,3.19,0.509,297
D004,magna,3.03,0.456,286
D005,magna,2.84,0.446,309
D006,magna,3.11,0.469,290
D007,magna,3.39,0.531,271
D008,magna,3.28,0.513,295
D009,magna,2.79,0.444,306
D010,magna,2.62,0.381,308
D011,magna,2.81,0.438,299
D012,magna,3.01,0.471,307
D013,magna,2.3,0.391,338
D014,magna,2.93,0.442,323
D015,magna,2.63,0.443,319
D016,magna,2.78,0.414,326
D017,magna,2.84,0.431,328
D018,magna,2.91,0.463,322
D019,magna,3.12,0.475,271
D020,magna,3.31,0.527,306
D021,magna,2.96,0.458,310
D022,magna,3.41,0.5,292
D023,magna,2.8,0.43,317
D024,magna,3.11,0.457,304
D025,magna,3.27,0.473,296
D026,magna,3.03,0.473,298
D027,magna,2.78,0.442,290
D028,magna,2.72,0.446,314
D029,magna,2.86,0.432,300
D030,magna,3.07,0.494,314
D031,pulex,2.1,0.348,366
D032,pulex,2.34,0.404,361
D033,pulex,2.35,0.376,349
D034,pulex,2.56,0.396,344
D035,pulex,2.46,0.399,355
D036,pulex,2.51,0.417,335
D037,pulex,2.2,0.366,369
D038,pulex,2.36,0.374,358
D039,pulex,2.64,0.397,333
D040,pulex,2.85,0.421,310
D041,pulex,2.02,0.35,379
D042,pulex,2.85,0.457,335
D043,pulex,2.8,0.434,334
D044,pulex,2.63,0.399,345
D045,pulex,2.48,0.411,376
D046,pulex,2.31,0.358,360
D047,pulex,2.84,0.43,340
D048,pulex,2.99,0.468,315
D049,pulex,2.94,0.419,354
D050,pulex,2.79,0.441,352
D051,pulex,2.51,0.392,365
D052,pulex,2.04,0.346,373
D053,pulex,2.4,0.387,368
D054,pulex,2.6,0.415,353
D055,pulex,2.01,0.352,381
D056,pulex,2.52,0.391,350
D057,pulex,2.53,0.425,334
D058,pulex,2.61,0.424,361
D059,pulex,2.04,0.357,349
D060,pulex,2.2,0.381,363
