pair_id,plant_id,gall_status,gall_type,stem_width_mm,gall_diameter_mm,n_inflorescence_shoots,quadrat
1,P1G,galled,ball,5.3,18.8,8,1
1,P1U,ungalled,none,4.0,,6,1
2,P2G,galled,ball,5.6,14.4,6,1
2,P2U,ungalled,none,4.9,,10,1
3,P3G,galled,ball,6.8,22.2,10,1
3,P3U,ungalled,none,4.8,,7,1
4,P4G,galled,ball,7.0,19.8,11,2
4,P4U,ungalled,none,7.0,,14,2
5,P5G,galled,ball,3.2,11.9,2,2
5,P5U,ungalled,none,2.7,,4,2
6,P6G,galled,ball,8.5,24.1,13,2
6,P6U,ungalled,none,7.4,,16,2
7,P7G,galled,ball,6.7,15.8,10,3
7,P7U,ungalled,none,5.7,,10,3
8,P8G,galled,ball,9.2,24.3,14,3
8,P8U,ungalled,none,9.8,,21,3
9,P9G,galled,ball,11.0,29.2,16,3
9,P9U,ungalled,none,9.9,,23,3
10,P10G,galled,ball,11.5,24.1,19,4
10,P10U,ungalled,none,10.9,,23,4
11,P11G,galled,ball,10.0,24.9,15,4
11,P11U,ungalled,none,9.5,,21,4
12,P12G,galled,ball,8.3,18.5,11,4
12,P12U,ungalled,none,7.7,,17,4
13,P13G,galled,ball,10.6,27.6,16,5
13,P13U,ungalled,none,9.7,,20,5
14,P14G,galled,ball,10.3,23.1,17,5
14,P14U,ungalled,none,11.1,,25,5
15,P15G,galled,ball,8.5,25.0,12,5
15,P15U,ungalled,none,6.4,,14,5
