site_id,land_use,soil_temp_c,water_content_pct,organic_matter_pct,microbial_biomass_mg_kg,respiration_rate_mg_co2_kg_hr,cfu_total_per_g,cfu_tet_per_g
F01,forest,12.1,30.4,6.5,363,5.1,2788029,45672
F02,forest,11.6,26.2,6.9,340,5.6,1390984,15669
F03,forest,11.5,27.8,5.7,350,4.8,3142107,36348
F04,forest,11.6,29.8,7.2,389,5.8,2213380,19706
F05,forest,12.4,26.8,6.1,353,4.9,2881240,36653
A01,agricultural,14.8,22.2,3.8,265,3.9,1945286,207742
A02,agricultural,16.1,23.1,4.3,230,4.2,3619334,408385
A03,agricultural,15.7,19.8,4.3,240,3.9,1930052,160769
A04,agricultural,16.0,19.9,3.8,219,3.2,1991703,222128
A05,agricultural,15.7,21.9,3.3,291,3.4,2929343,84149
U01,urban,18.7,19.2,2.4,130,3.0,1913376,48328
U02,urban,18.1,21.4,2.9,156,2.5,2403667,51748
U03,urban,18.7,18.3,1.7,191,1.6,3478336,99152
U04,urban,17.7,15.4,3.3,158,3.3,2683725,69556
U05,urban,16.8,18.1,1.7,182,1.8,2041330,78750
