turtle_id,habitat,carapace_mm,mass_g,growth_rate_mm_yr
T001,pond,145.6,550.5,12.69
T002,pond,148.0,446.8,13.64
T003,pond,134.2,373.5,12.66
T004,pond,132.8,472.0,9.39
T005,pond,147.2,594.2,13.81
T006,pond,139.9,440.7,12.89
T007,pond,147.6,455.7,10.93
T008,pond,153.4,544.1,13.16
T009,pond,126.9,404.8,12.73
T010,pond,147.8,483.8,12.59
T011,pond,158.5,525.1,12.06
T012,pond,141.7,500.6,13.09
T013,pond,136.1,448.9,10.53
T014,pond,153.3,531.9,11.67
T015,pond,147.8,496.0,11.04
T016,pond,154.9,494.0,13.2
T017,pond,141.2,468.8,12.08
T018,pond,128.7,407.0,11.42
T019,pond,143.8,489.2,10.44
T020,pond,140.1,437.0,11.49
T021,marsh,147.5,461.2,12.82
T022,marsh,141.1,531.1,12.25
T023,marsh,121.1,410.1,15.39
T024,marsh,125.9,426.4,14.81
T025,marsh,148.7,524.6,7.38
T026,marsh,146.5,482.7,9.02
T027,marsh,132.0,441.3,12.45
T028,marsh,139.0,487.4,11.96
T029,marsh,143.9,499.4,13.23
T030,marsh,144.2,448.5,13.23
T031,marsh,148.6,536.2,17.04
T032,marsh,141.8,461.2,10.58
T033,marsh,138.0,432.8,12.04
T034,marsh,136.2,432.4,16.89
T035,marsh,150.6,497.3,14.09
T036,marsh,114.2,434.7,14.13
T037,marsh,137.5,427.1,11.77
T038,marsh,139.4,479.5,9.5
T039,marsh,123.3,353.3,13.13
T040,marsh,142.7,485.1,13.02
T041,river,150.8,546.6,15.05
T042,river,167.5,559.6,16.13
T043,river,156.6,507.8,17.36
T044,river,165.4,571.9,15.61
T045,river,171.4,612.8,17.3
T046,river,162.2,578.4,17.69
T047,river,148.4,577.7,17.57
T048,river,141.3,487.8,16.49
T049,river,177.3,576.6,18.69
T050,river,156.8,528.2,19.28
T051,river,150.4,508.6,18.14
T052,river,159.6,547.0,15.86
T053,river,155.9,528.9,18.96
T054,river,167.4,576.4,16.5
T055,river,158.4,472.4,19.26
T056,river,158.2,570.7,15.36
T057,river,150.1,488.8,19.33
T058,river,163.2,507.0,17.46
T059,river,146.6,521.8,15.0
T060,river,165.3,616.5,16.87
